Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(-ISC|MC),0.9375,P(CT|B),(0.46·x + 0.51)/(0.48·x + 0.54),(0.69·x + -0.02)/(0.72·x + -0.03),(-0.04·xy + 0.57·x + 0.38.y + 0.02) / (-0.04·xy + 0.6·x + 0.4·y + 0.02)
P(MC),P(-ISC|MC),0.9375,P(-CT|B),(0.02·x + -0.04)/(0.47·x + -0.88),(0.05·x + 0.02)/(0.9·x + 0.43),(0.05·xy + 0.0·x + 0.02.y + 0.01) / (0.93·xy + 0.06·x + 0.35·y + 0.1)
P(MC),P(ISC|-MC),0.9375,P(C|B),(-0.12·x + 0.55)/(-0.27·x + 0.78),(-0.47·x + -0.27)/(-0.0·x + -0.84),(0.43·xy + -0.11·x + 0.08.y + -0.2) / (-0.11·xy + 0.41·x + 0.49·y + -0.58)
P(MC),P(ISC|-MC),0.9375,P(-C|B),(-0.17·x + 0.26)/(-0.31·x + 0.9),(0.17·x + 0.01)/(0.99·x + 0.01),(0.43·xy + -0.45·x + -0.21.y + 0.31) / (0.03·xy + -0.43·x + 0.31·y + 0.43)
P(MC),P(ISC|-MC),0.9375,P(SH|B),(0.28·x + 0.56)/(0.35·x + 0.7),(0.62·x + -0.09)/(0.77·x + -0.12),(-0.32·xy + -0.04·x + 0.53.y + -0.06) / (-0.4·xy + -0.06·x + 0.66·y + -0.08)
P(MC),P(ISC|-MC),0.9375,P(-SH|B),(-0.01·x + -0.2)/(-0.04·x + -0.98),(0.13·x + 0.15)/(0.66·x + 0.73),(-0.01·xy + 0.02·x + 0.07.y + -0.18) / (-0.04·xy + 0.12·x + 0.35·y + -0.91)
P(MC),P(ISC|-MC),0.9375,P(CT|B),(0.47·x + -0.5)/(0.49·x + -0.53),(0.48·x + -0.5)/(0.5·x + -0.52),(0.23·xy + -0.39·x + -0.52.y + -0.02) / (0.24·xy + -0.41·x + -0.55·y + -0.03)
P(MC),P(ISC|-MC),0.9375,P(-CT|B),(0.02·x + -0.04)/(0.47·x + -0.88),(0.04·x + 0.03)/(0.82·x + 0.57),(0.01·xy + 0.03·x + 0.03.y + 0.02) / (0.17·xy + 0.69·x + 0.56·y + 0.42)
P(MC),P(-ISC|-MC),0.9375,P(C|B),(0.7·x + 0.04)/(0.68·x + 0.23),(-0.52·x + -0.07)/(-0.85·x + -0.05),(0.42·xy + 0.09·x + 0.33.y + -0.31) / (0.44·xy + 0.13·x + 0.49·y + -0.4)
P(MC),P(-ISC|-MC),0.9375,P(-C|B),(-0.03·x + 0.25)/(0.92·x + 0.31),(-0.48·x + -0.11)/(0.0·x + -0.87),(0.02·xy + 0.01·x + -0.16.y + -0.04) / (-0.91·xy + 0.16·x + 0.1·y + -0.32)
P(MC),P(-ISC|-MC),0.9375,P(SH|B),(-0.19·x + 0.59)/(-0.24·x + 0.74),(0.54·x + -0.32)/(0.67·x + -0.4),(-0.07·xy + 0.44·x + 0.23.y + 0.37) / (-0.09·xy + 0.55·x + 0.28·y + 0.46)
P(MC),P(-ISC|-MC),0.9375,P(-SH|B),(0.1·x + 0.17)/(0.48·x + 0.86),(0.04·x + -0.19)/(0.18·x + -0.96),(-0.16·xy + 0.11·x + 0.01.y + 0.03) / (-0.81·xy + 0.53·x + 0.03·y + 0.16)
P(MC),P(-ISC|-MC),0.9375,P(CT|B),(0.08·x + 0.68)/(0.09·x + 0.72),(0.48·x + -0.5)/(0.5·x + -0.52),(-0.51·xy + 0.29·x + -0.12.y + -0.33) / (-0.54·xy + 0.31·x + -0.13·y + -0.35)
P(MC),P(-ISC|-MC),0.9375,P(-CT|B),(0.04·x + -0.03)/(0.75·x + -0.66),(0.02·x + -0.05)/(0.39·x + -0.92),(0.02·xy + -0.01·x + 0.05.y + -0.0) / (0.39·xy + -0.19·x + 0.9·y + -0.01)
P(-MC),P(ISC|MC),0.9375,P(C|B),(0.01·x + 0.63)/(0.01·x + 0.77),(-0.58·x + -0.14)/(-0.0·x + -0.8),(-0.23·xy + -0.39·x + -0.32.y + -0.02) / (-0.01·xy + -0.71·x + 0.05·y + -0.43)
P(-MC),P(ISC|MC),0.9375,P(-C|B),(-0.1·x + -0.22)/(-0.8·x + -0.55),(-0.5·x + 0.57)/(-0.0·x + 0.65),(-0.08·xy + -0.16·x + 0.31.y + -0.17) / (-0.28·xy + -0.68·x + 0.51·y + -0.18)
P(-MC),P(ISC|MC),0.9375,P(SH|B),(0.62·x + 0.01)/(0.78·x + 0.01),(0.33·x + 0.53)/(0.41·x + 0.66),(0.05·xy + -0.14·x + 0.28.y + 0.54) / (0.06·xy + -0.18·x + 0.34·y + 0.67)
P(-MC),P(ISC|MC),0.9375,P(-SH|B),(-0.12·x + 0.16)/(-0.58·x + 0.79),(-0.1·x + -0.17)/(-0.52·x + -0.83),(-0.01·xy + -0.12·x + -0.16.y + -0.01) / (-0.06·xy + -0.58·x + -0.79·y + -0.03)
P(-MC),P(ISC|MC),0.9375,P(CT|B),(0.66·x + 0.2)/(0.7·x + 0.21),(-0.19·x + 0.66)/(-0.2·x + 0.7),(-0.61·xy + 0.11·x + 0.09.y + -0.28) / (-0.65·xy + 0.11·x + 0.09·y + -0.3)
P(-MC),P(ISC|MC),0.9375,P(-CT|B),(0.01·x + -0.05)/(0.14·x + -0.99),(-0.05·x + 0.02)/(-0.91·x + 0.4),(-0.02·xy + 0.01·x + 0.03.y + -0.04) / (-0.39·xy + 0.1·x + 0.58·y + -0.7)
P(-MC),P(-ISC|MC),0.9375,P(C|B),(-0.63·x + 0.03)/(-0.77·x + 0.04),(-0.5·x + 0.58)/(0.0·x + 0.64),(0.26·xy + -0.25·x + 0.21.y + -0.26) / (0.72·xy + -0.39·x + -0.14·y + -0.27)
P(-MC),P(-ISC|MC),0.9375,P(-C|B),(-0.46·x + 0.49)/(-0.45·x + 0.59),(-0.61·x + -0.08)/(-0.0·x + -0.79),(-0.29·xy + 0.11·x + 0.16.y + -0.02) / (-0.78·xy + 0.47·x + 0.22·y + -0.0)
P(-MC),P(-ISC|MC),0.9375,P(SH|B),(-0.62·x + -0.01)/(-0.78·x + -0.01),(0.12·x + 0.61)/(0.15·x + 0.77),(0.1·xy + -0.1·x + -0.12.y + 0.6) / (0.12·xy + -0.13·x + -0.15·y + 0.74)
P(-MC),P(-ISC|MC),0.9375,P(-SH|B),(-0.08·x + -0.18)/(-0.4·x + -0.9),(-0.04·x + -0.19)/(-0.21·x + -0.96),(0.03·xy + -0.15·x + -0.06.y + -0.1) / (0.16·xy + -0.75·x + -0.31·y + -0.52)
P(-MC),P(-ISC|MC),0.9375,P(CT|B),(-0.65·x + 0.24)/(-0.68·x + 0.25),(0.55·x + 0.41)/(0.58·x + 0.43),(-0.05·xy + -0.68·x + -0.1.y + -0.02) / (-0.05·xy + -0.72·x + -0.1·y + -0.02)
P(-MC),P(-ISC|MC),0.9375,P(-CT|B),(0.05·x + -0.02)/(0.92·x + -0.38),(0.01·x + -0.05)/(0.29·x + -0.96),(-0.01·xy + 0.04·x + 0.01.y + -0.03) / (-0.13·xy + 0.78·x + 0.13·y + -0.59)
P(-MC),P(ISC|-MC),0.9375,P(C|B),(-0.54·x + -0.3)/(-0.61·x + -0.5),(-0.47·x + -0.23)/(0.0·x + -0.85),(0.33·xy + 0.02·x + -0.38.y + -0.05) / (0.63·xy + -0.07·x + -0.58·y + -0.07)
P(-MC),P(ISC|-MC),0.9375,P(-C|B),(-0.1·x + -0.22)/(-0.8·x + -0.55),(-0.26·x + -0.05)/(-0.96·x + -0.03),(0.29·xy + -0.06·x + -0.21.y + 0.0) / (0.69·xy + -0.08·x + -0.62·y + -0.01)
P(-MC),P(ISC|-MC),0.9375,P(SH|B),(0.62·x + 0.01)/(0.78·x + 0.01),(0.33·x + 0.53)/(0.41·x + 0.66),(0.0·xy + 0.13·x + 0.16.y + -0.59) / (0.0·xy + 0.16·x + 0.2·y + -0.74)
P(-MC),P(ISC|-MC),0.9375,P(-SH|B),(0.18·x + -0.08)/(0.89·x + -0.41),(-0.19·x + 0.04)/(-0.96·x + 0.19),(0.15·xy + 0.11·x + 0.01.y + -0.06) / (0.76·xy + 0.54·x + 0.05·y + -0.3)
P(-MC),P(ISC|-MC),0.9375,P(CT|B),(0.42·x + -0.54)/(0.45·x + -0.57),(-0.64·x + -0.25)/(-0.67·x + -0.27),(-0.66·xy + -0.01·x + 0.0.y + -0.19) / (-0.7·xy + -0.01·x + 0.0·y + -0.2)
P(-MC),P(ISC|-MC),0.9375,P(-CT|B),(0.05·x + 0.02)/(0.9·x + 0.43),(0.02·x + -0.04)/(0.47·x + -0.88),(0.01·xy + 0.03·x + -0.0.y + -0.04) / (0.19·xy + 0.54·x + -0.04·y + -0.82)
P(-MC),P(-ISC|-MC),0.9375,P(C|B),(-0.54·x + -0.3)/(-0.61·x + -0.5),(0.54·x + 0.01)/(0.84·x + 0.01),(-0.38·xy + 0.45·x + -0.24.y + 0.22) / (-0.06·xy + 0.5·x + -0.42·y + 0.35)
P(-MC),P(-ISC|-MC),0.9375,P(-C|B),(-0.1·x + -0.22)/(-0.8·x + -0.55),(-0.33·x + 0.0)/(-0.94·x + 0.0),(-0.11·xy + 0.04·x + 0.42.y + -0.18) / (0.46·xy + -0.38·x + 0.63·y + -0.19)
P(-MC),P(-ISC|-MC),0.9375,P(SH|B),(0.52·x + -0.34)/(0.65·x + -0.43),(0.3·x + -0.55)/(0.37·x + -0.69),(-0.04·xy + 0.36·x + 0.22.y + -0.45) / (-0.05·xy + 0.45·x + 0.28·y + -0.57)
P(-MC),P(-ISC|-MC),0.9375,P(-SH|B),(0.0·x + 0.2)/(0.02·x + 0.98),(-0.07·x + -0.18)/(-0.33·x + -0.92),(0.18·xy + 0.04·x + 0.01.y + -0.06) / (0.92·xy + 0.19·x + 0.04·y + -0.28)
P(-MC),P(-ISC|-MC),0.9375,P(CT|B),(-0.51·x + -0.46)/(-0.54·x + -0.48),(0.55·x + 0.41)/(0.58·x + 0.43),(0.5·xy + -0.24·x + -0.06.y + -0.4) / (0.53·xy + -0.25·x + -0.06·y + -0.43)
P(-MC),P(-ISC|-MC),0.9375,P(-CT|B),(-0.05·x + -0.02)/(-0.92·x + -0.38),(0.05·x + 0.01)/(0.99·x + 0.16),(-0.02·xy + -0.02·x + 0.02.y + -0.03) / (-0.39·xy + -0.43·x + 0.49·y + -0.65)
